cancer,model,seed,cindex
STAD,CoxRidge,6,0.5194244604316547
STAD,CoxRidge,7,0.5492537313432836
STAD,CoxRidge,8,0.5042087542087542
STAD,CoxRidge,9,0.5786833855799373
STAD,Coxnnet,0,0.5765370138017566
STAD,Coxnnet,1,0.5562456866804693
STAD,Coxnnet,2,0.5535585909417685
STAD,Coxnnet,3,0.3167293233082707
STAD,Coxnnet,4,0.5121234386480529
STAD,Coxnnet,5,0.5115236875800256
STAD,Coxnnet,6,0.5690647482014388
STAD,Coxnnet,7,0.5773134328358209
STAD,Coxnnet,8,0.5067340067340067
STAD,Coxnnet,9,0.6263322884012539
STAD,CoxMLP,0,0.5181932245922208
STAD,CoxMLP,1,0.5072463768115942
STAD,CoxMLP,2,0.47088425593098493
STAD,CoxMLP,3,0.3956766917293233
STAD,CoxMLP,4,0.5540044085231447
STAD,CoxMLP,5,0.499359795134443
STAD,CoxMLP,6,0.5884892086330935
STAD,CoxMLP,7,0.48955223880597015
STAD,CoxMLP,8,0.4739057239057239
STAD,CoxMLP,9,0.5855799373040752
STAD,VAECox,0,0.5558343789209536
STAD,VAECox,1,0.5693581780538303
STAD,VAECox,2,0.5147375988497483
STAD,VAECox,3,0.40131578947368424
STAD,VAECox,4,0.5767817781043351
STAD,VAECox,5,0.5147247119078106
STAD,VAECox,6,0.564748201438849
STAD,VAECox,7,0.5295522388059701
STAD,VAECox,8,0.4941077441077441
STAD,VAECox,9,0.6539184952978057
